char1:context,char1:importance,char1:expectation,char2:responsibility,char2:importance,char2:expectation,char2:aware,event:intro,event:progress,char1:attention,char1_name,char2_name,story,response,n,temperature,domain,model,prompt
medium,high,low,help,low,low,not-aware,begin,early-below-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is about the same. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,2,0,0,1,1,0,0,0,3,2,1,0,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,low,low,not-aware,begin,early-above-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is a tiny bit better. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,low,low,not-aware,begin,finish-not-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is not going to improve. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,5,2,3,1,4,0,0,0,2,0,0,0,0,0,2
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,low,low,not-aware,begin,finish-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is deeper. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,3,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,low,high,not-aware,begin,early-below-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is about the same. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,2,1,1,2,1,0,0,0,3,2,1,1,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,low,high,not-aware,begin,early-above-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is a tiny bit better. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,1,0,1,1,0,0,0,0,2,2,1,1,0,0,3
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,low,high,not-aware,begin,finish-not-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is not going to improve. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,5,2,3,1,4,0,0,0,2,0,0,0,0,0,2
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,low,high,not-aware,begin,finish-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is deeper. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,3,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,low,not-aware,begin,early-below-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is about the same. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,2,1,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,low,not-aware,begin,early-above-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is a tiny bit better. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,low,not-aware,begin,finish-not-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is not going to improve. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,5,2,3,1,4,0,0,0,3,0,0,0,0,0,2
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,low,not-aware,begin,finish-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is deeper. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,3,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,high,not-aware,begin,early-below-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is about the same. John's thoughts are on the friendship.","<answer>
0,0,0,0,1,2,1,1,2,1,0,0,0,3,2,1,1,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,high,not-aware,begin,early-above-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is a tiny bit better. John's thoughts are on the friendship.","<answer>
0,0,0,0,1,2,1,1,2,1,0,0,0,3,2,1,1,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,high,not-aware,begin,finish-not-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is not going to improve. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,5,2,3,2,4,0,0,0,3,0,0,0,0,0,2
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,low,help,high,high,not-aware,begin,finish-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to stay about the same as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a lot about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is deeper. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,3,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,low,not-aware,begin,early-below-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is about the same. John's thoughts are on the friendship.","<answer>
0,0,0,0,1,3,1,2,2,2,0,0,0,2,1,0,0,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,low,not-aware,begin,early-above-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is a tiny bit better. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,2,0,1,1,1,0,0,0,2,1,1,1,0,0,3
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,low,not-aware,begin,finish-not-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is not going to improve. John's thoughts are on the friendship.","<answer>
0,0,0,0,2,5,1,2,1,4,0,0,0,2,0,0,0,0,0,3
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,low,not-aware,begin,finish-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a small amount of effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is deeper. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,3,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,high,not-aware,begin,early-below-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is about the same. John's thoughts are on the friendship.","<answer>
0,0,0,0,1,3,2,2,3,2,0,0,0,2,1,0,0,0,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,high,not-aware,begin,early-above-exp,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the first day, John checks in with himself and finds that he has put in a little effort to improve their friendship, and he feels that their friendship is a tiny bit better. John's thoughts are on the friendship.","<answer>
0,0,0,0,1,2,1,1,2,1,0,0,0,2,1,1,1,0,0,3
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,high,not-aware,begin,finish-not-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is not going to improve. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,6,2,3,1,5,0,0,0,3,0,0,0,0,0,2
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
medium,high,high,help,low,high,not-aware,begin,finish-done,event,john,sam,"John is good friends with Sam and is going on a trip with him. John cares a lot about this friendship and wants it to become better. He expects their friendship to become deeper as a result of the trip. Sam has made an effort to make time for their friendship. Sam cares a little about the friendship. Sam expects John to put in a big effort on their friendship and the trip. John is not aware of Sam's thoughts and expectation around their friendship. The trip is three days long. After the trip, John thinks he has done his best to improve the friendship, and he feels that their friendship is deeper. John's thoughts are on the friendship.","<answer>
0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,3,0,4
</answer>",0,0,social1,claude-3-5-sonnet-20240620,reversed_order
