ID,storySignifier,domain,outcomeXexpect,emotion,rating,model,study
1,G2D1BL ,pottery,BL,Anger,0,Human,1
1,G2D1BL ,pottery,BL,Hate,0,Human,1
1,G2D1BL ,pottery,BL,Contempt,0,Human,1
1,G2D1BL ,pottery,BL,Disgust,0,Human,1
1,G2D1BL ,pottery,BL,Fear,0,Human,1
1,G2D1BL ,pottery,BL,Disappointment,4,Human,1
1,G2D1BL ,pottery,BL,Shame,1,Human,1
1,G2D1BL ,pottery,BL,Regret,1,Human,1
1,G2D1BL ,pottery,BL,Guilt,0,Human,1
1,G2D1BL ,pottery,BL,Sadness,1,Human,1
1,G2D1BL ,pottery,BL,Compassion,0,Human,1
1,G2D1BL ,pottery,BL,Relief,2,Human,1
1,G2D1BL ,pottery,BL,Admiration,0,Human,1
1,G2D1BL ,pottery,BL,Love,0,Human,1
1,G2D1BL ,pottery,BL,Contentment,1,Human,1
1,G2D1BL ,pottery,BL,Pleasure,2,Human,1
1,G2D1BL ,pottery,BL,Joy,0,Human,1
1,G2D1BL ,pottery,BL,Pride,2,Human,1
1,G2D1BL ,pottery,BL,Amusement,0,Human,1
1,G2D1BL ,pottery,BL,Interest,2,Human,1
1,G2D4GL,exam,GL,Anger,0,Human,1
1,G2D4GL,exam,GL,Hate,0,Human,1
1,G2D4GL,exam,GL,Contempt,0,Human,1
1,G2D4GL,exam,GL,Disgust,0,Human,1
1,G2D4GL,exam,GL,Fear,0,Human,1
1,G2D4GL,exam,GL,Disappointment,0,Human,1
1,G2D4GL,exam,GL,Shame,0,Human,1
1,G2D4GL,exam,GL,Regret,0,Human,1
1,G2D4GL,exam,GL,Guilt,0,Human,1
1,G2D4GL,exam,GL,Sadness,0,Human,1
1,G2D4GL,exam,GL,Compassion,0,Human,1
1,G2D4GL,exam,GL,Relief,5,Human,1
1,G2D4GL,exam,GL,Admiration,0,Human,1
1,G2D4GL,exam,GL,Love,0,Human,1
1,G2D4GL,exam,GL,Contentment,4,Human,1
1,G2D4GL,exam,GL,Pleasure,1,Human,1
1,G2D4GL,exam,GL,Joy,1,Human,1
1,G2D4GL,exam,GL,Pride,4,Human,1
1,G2D4GL,exam,GL,Amusement,0,Human,1
1,G2D4GL,exam,GL,Interest,1,Human,1
1,G2D3BH,basketball,BH,Anger,2,Human,1
1,G2D3BH,basketball,BH,Hate,0,Human,1
1,G2D3BH,basketball,BH,Contempt,0,Human,1
